MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds
64,4,68,7,5,17
4,1,5,2,0,4
25,5,19,7,0,23
112,17,44,34,22,89
163,23,424,27,65,76
17,8,14,10,4,3
130,0,16,0,0,5
292,6,37,0,3,34
350,60,568,110,133,145
135,9,39,4,0,7
230,42,192,49,37,53
7,0,8,2,0,1
445,37,359,98,28,18
15,2,10,0,1,4
27,2,14,0,0,0
5,3,11,12,5,9
505,0,26,0,0,75
51,2,7,0,1,2
207,26,447,75,0,223
135,46,92,65,61,11
53,1,5,2,1,10
41,1,6,2,0,5
386,172,183,185,132,111
562,81,276,80,40,81
217,76,690,50,26,38
1,3,6,10,0,9
144,1,32,2,1,7
295,106,271,75,98,65
76,3,31,4,4,27
454,194,106,31,22,43
425,115,292,23,35,79
1332,17,311,23,51,86
527,0,21,0,0,60
490,44,125,29,20,22
378,0,101,0,0,72
64,1,21,0,1,27
547,99,812,151,82,33
47,90,94,123,103,120
12,5,25,0,9,30
1,6,7,11,5,3
320,48,133,39,72,48
34,3,29,0,4,10
9,0,7,3,4,7
17,0,14,7,3,2
722,27,102,44,72,168
162,33,124,40,28,172
450,133,951,173,0,216
70,0,16,0,0,4
352,0,27,10,0,15
492,19,110,16,12,12
120,58,73,65,89,58
534,5,47,0,5,41
236,106,189,23,41,130
231,65,196,38,71,124
220,0,33,3,0,23
796,14,590,38,44,0
0,1,3,10,6,9
53,1,34,2,0,16
15,0,8,4,2,20
17,1,12,3,1,4
962,61,921,52,61,20
738,0,232,13,20,50
399,28,756,36,40,126
614,16,132,43,33,33
32,34,41,73,16,116
598,16,141,32,41,49
2,1,18,20,11,16
6,1,10,0,1,4
73,3,90,12,1,32
42,16,29,12,20,8
295,21,78,39,13,13
346,17,48,23,13,13
233,20,57,8,20,91
5,7,24,19,14,20
888,0,57,0,0,76
997,26,269,34,13,42
212,6,69,4,12,3
8,1,7,2,0,0
42,11,57,10,28,14
536,11,387,149,91,57
5,0,3,0,0,5
1349,16,249,43,16,33
53,3,49,7,4,5
1001,12,240,16,12,12
20,2,1582,1,2,1
18,1,32,6,3,28
125,16,98,134,21,27
212,5,33,7,0,2
277,162,305,173,76,124
15,10,19,8,17,20
7,3,10,8,1,7
12,4,6,11,8,16
85,7,24,2,3,27
81,0,6,0,0,6
59,0,12,0,0,48
1149,71,449,69,71,26
847,66,119,86,89,111
29,0,14,0,0,2
2,0,5,2,0,1
207,26,447,75,0,223
152,3,22,2,5,7
12,11,10,3,12,9
620,26,195,34,17,141
47,1,6,0,0,12
1,9,7,2,14,10
10,1,18,10,4,7
35,0,2,0,0,2
356,0,107,19,9,117
783,30,537,140,76,15
42,1,18,3,0,4
1,4,10,29,0,36
466,22,432,147,113,102
15,6,8,7,4,25
23,3,21,3,19,22
235,6,45,8,9,12
10,0,10,3,1,7
656,16,106,32,16,8
519,17,813,27,173,51
344,189,482,50,33,172
96,1,79,7,1,79
448,4,34,6,4,39
265,138,553,224,23,92
587,43,337,42,87,54
763,29,138,76,176,58
22,0,13,0,0,3
6,4,1,7,2,15
7,6,13,7,6,14
81,18,113,47,13,21
54,0,7,0,0,4
1170,48,320,42,32,192
72,24,68,65,4,8
613,22,319,33,102,12
224,0,30,0,0,10
410,0,59,19,9,44
239,10,554,254,87,54
171,7,171,25,19,89
12,0,4,0,0,1
1076,16,417,42,48,16
182,4,33,0,0,66
824,32,162,42,32,43
30,11,25,29,1,18
377,10,540,80,30,10
520,7,154,19,0,14
155,1,25,0,1,3
897,23,207,15,11,92
131,0,16,2,1,39
297,7,79,0,11,182
787,20,204,0,0,92
792,86,740,67,51,17
4,1,9,3,0,0
231,7,137,4,15,39
983,76,184,180,138,27
3,1,8,4,3,3
0,4,5,6,0,4
562,21,464,28,10,32
5,9,20,6,8,21
18,0,4,0,0,1
415,5,124,15,35,11
5,3,10,12,7,20
8,0,5,7,0,2
901,61,757,186,163,20
382,114,276,75,124,38
14,1,7,2,1,1
559,153,503,218,13,181
789,0,133,0,28,152
11,0,5,0,0,1
1218,16,272,104,0,80
925,64,179,133,12,77
864,134,768,150,38,172
960,28,183,220,70,70
16,3,25,6,1,13
3,3,7,0,2,11
168,148,444,32,172,148
45,47,52,21,20,25
650,28,353,45,42,30
24,0,8,0,0,1
918,21,118,13,10,21
138,33,87,28,24,12
12,4,2,10,6,10
11,0,4,0,0,2
1,2,8,4,3,13
554,41,215,11,0,24
167,2,62,24,13,7
9,0,6,4,1,5
177,2,71,3,2,20
38,4,22,4,2,20
483,84,398,205,84,241
77,2,35,0,1,69
182,74,298,162,149,116
10,7,19,8,2,21
778,44,499,95,73,146
16,7,23,0,8,6
167,0,43,6,2,13
13,2,14,8,7,4
33,6,40,3,7,10
625,7,99,10,22,7
216,162,224,101,92,162
68,129,396,188,22,15
196,0,512,33,130,54
635,15,100,20,7,131
4,19,9,28,25,17
297,7,79,0,11,182
84,5,38,150,12,28
204,7,149,20,15,66
26,0,8,0,0,3
15,6,20,4,5,20
304,98,230,150,74,74
285,28,242,55,114,135
395,183,565,166,141,28
248,3,81,4,3,51
20,6,5,0,9,12
39,0,56,20,8,14
777,129,573,216,21,203
8,3,22,21,1,13
9,1,3,0,4,8
1241,0,80,0,13,40
6,4,7,4,3,8
65,4,16,0,4,11
395,15,263,60,54,38
801,0,80,0,0,35
36,0,12,2,2,10
513,14,154,19,0,28
37,0,46,4,3,0
80,15,93,20,13,52
14,1,21,2,3,25
525,147,112,219,147,63
1,26,25,17,23,15
675,11,400,15,45,11
509,0,27,0,0,10
154,2,46,20,4,15
3,5,14,2,12,17
25,0,8,2,0,2
861,138,461,60,30,61
768,44,561,77,44,14
185,0,28,3,2,17
24,0,7,0,0,1
44,4,21,6,0,27
91,64,128,65,3,50
11,0,7,3,1,6
738,20,172,52,50,20
412,5,119,38,29,77
3,3,7,6,2,9
16,0,3,0,0,1
731,60,353,78,12,73
424,17,118,7,23,41
792,0,275,45,45,126
21,2,28,3,2,9
22,1,11,0,1,2
33,0,5,0,0,0
68,7,59,10,5,11
9,1,6,3,0,4
40,2,15,8,0,6
909,11,218,0,0,23
23,1,13,2,2,18
11,2,9,3,0,8
317,46,247,151,46,139
797,153,293,72,97,30
10,2,16,11,2,21
856,61,570,40,25,122
755,144,562,104,64,224
456,19,832,75,118,38
37,32,38,11,3,18
1103,0,45,0,0,34
378,14,68,19,14,14
1,6,7,0,1,3
204,34,204,172,153,173
30,0,9,0,0,3
189,104,379,111,189,218
15,0,12,7,3,7
9,0,3,0,0,4
495,33,255,11,33,8
656,80,455,52,107,93
452,20,514,13,30,0
546,91,410,119,0,22
1048,0,217,0,0,12
22,2,14,0,1,10
78,0,11,0,0,10
561,64,785,84,128,48
629,17,177,69,0,8
269,15,69,15,19,38
736,163,818,212,163,61
512,0,83,0,0,41
19,3,10,11,8,6
9,0,6,4,1,5
247,8,160,6,8,65
404,0,92,28,27,142
333,0,815,129,42,29
2,3,20,6,11,9
833,33,549,151,133,233
789,0,142,12,9,38
10,4,7,0,6,3
159,4,45,6,2,38
7,1,6,3,1,11
977,12,253,16,12,101
38,4,22,3,3,3
57,0,27,0,0,36
3,9,15,13,2,39
10,4,14,4,4,1
1043,24,97,32,24,157
3,9,13,2,12,12
11,0,5,0,0,1
3,6,5,0,2,6
43,12,96,78,40,55
73,3,90,12,1,32
12,0,1,0,0,6
4,7,7,6,4,13
314,11,53,4,3,107
571,50,142,33,50,159
70,0,11,2,8,23
866,21,151,28,21,86
594,134,786,33,134,57
140,4,61,0,13,4
375,152,335,93,91,81
102,9,63,2,9,24
554,35,113,0,7,78
919,0,505,99,30,45
96,1,42,12,3,32
5,2,16,3,2,19
2,0,6,8,6,5
6,4,9,6,36,35
23,1,25,0,8,7
610,105,125,137,42,21
67,5,61,3,8,19
65,36,74,38,20,110
416,0,26,0,0,4
23,0,11,3,2,2
19,3,26,10,9,3
155,7,80,13,7,10
14,0,24,3,3,2
370,9,92,6,9,4
4,22,11,3,7,32
407,53,221,58,150,26
1200,0,204,38,29,14
85,44,54,102,78,6
583,34,309,0,22,125
483,0,591,156,0,12
2,5,9,28,6,28
966,26,282,52,26,26
822,114,108,179,137,114
604,0,100,19,0,28
19,3,19,3,1,3
5,3,11,12,5,9
2,2,2,2,1,1
1076,68,103,29,91,68
1285,42,716,55,0,21
10,0,7,2,0,1
551,137,792,179,103,33
800,0,297,0,34,57
2,2,11,10,6,12
378,0,189,97,172,172
1248,16,349,43,16,16
235,0,235,19,4,191
515,47,181,149,95,95
438,66,400,12,38,114
25,0,22,2,3,5
31,0,7,2,0,6
357,35,271,28,28,14
400,4,35,6,0,22
99,0,15,2,1,5
1,11,5,4,6,9
5,4,13,8,0,4
77,28,31,16,0,4
3,1,2,4,3,1
10,4,14,4,4,1
0,6,3,7,6,12
0,0,1,2,12,5
76,14,74,13,5,10
398,190,537,61,156,37
14,7,11,11,0,5
208,7,82,30,66,35
430,16,322,43,24,33
656,38,161,62,47,37
14,2,30,8,2,3
141,70,106,72,19,23
507,19,364,25,47,9
164,24,103,12,3,42
606,24,974,197,194,64
116,11,72,3,17,46
143,15,60,24,23,5
398,96,447,220,96,32
522,0,257,32,16,66
161,0,253,199,191,122
112,0,6,2,1,14
483,84,398,205,84,241
7,5,39,17,15,37
789,25,420,16,38,0
1239,17,413,23,34,17
4,1,5,2,0,3
335,42,127,28,5,5
639,8,166,11,8,58
563,76,384,84,192,89
2,0,8,2,2,3
746,8,125,11,8,8
22,1,13,4,0,4
4,1,6,4,1,9
478,0,193,110,75,117
20,3,4,2,0,2
451,0,39,0,4,24
371,22,39,6,0,92
281,7,84,15,0,119
19,7,19,0,1,24
26,3,13,2,10,0
138,15,35,25,11,72
213,2,44,0,2,5
407,28,100,120,74,18
483,74,114,169,37,18
738,0,232,13,20,50
502,12,109,16,6,90
11,0,5,2,1,1
24,1,108,29,29,14
1170,19,594,99,76,134
185,2,88,15,5,14
983,20,389,240,50,40
691,0,69,10,0,130
504,13,131,8,0,26
317,25,265,25,19,12
29,1,9,2,0,2
1396,0,322,46,35,17
529,0,356,63,28,0
388,14,218,91,14,21
13,2,21,4,0,24
28,0,4,0,0,0
16,36,21,20,62,108
1047,0,140,67,38,153
31,0,7,2,0,6
815,10,239,28,10,108
225,162,387,106,36,29
493,70,324,146,40,84
34,4,66,3,10,20
382,138,65,60,26,59
127,1,56,0,1,31
325,83,300,86,58,91
238,17,68,8,10,6
1168,92,408,72,129,55
284,0,55,0,6,52
1288,20,613,80,61,27
65,0,46,4,3,20
11,7,9,3,1,11
227,23,389,42,21,75
1035,134,670,25,38,0
27,1,12,2,0,10
982,73,351,56,14,175
179,2,64,38,17,58
1379,33,216,0,33,66
32,1,64,16,12,85
8,4,15,7,6,2
881,38,319,16,25,12
141,15,153,67,31,35
1000,155,379,224,17,120
206,10,67,30,27,71
162,61,83,97,57,61
619,54,260,127,54,54
456,4,24,0,0,9
112,6,92,3,9,38
11,3,22,2,2,6
172,12,112,8,0,15
78,0,11,0,0,7
464,151,292,65,60,30
99,4,32,37,54,6
19,3,19,4,5,26
1,9,8,11,3,22
63,10,83,7,19,19
252,3,42,4,3,102
1478,19,403,0,19,0
198,18,252,32,108,54
8,4,10,6,7,6
416,46,925,60,107,46
42,7,43,20,12,10
14,3,21,2,1,28
17,0,3,0,0,1
15,4,10,3,4,18
6,16,24,11,0,34
458,0,24,6,4,34
30,3,47,19,21,42
179,28,520,111,123,47
90,17,97,15,6,15
308,85,137,102,45,118
557,129,761,29,185,111
7,4,13,15,8,17
1492,38,287,50,57,33
30,8,12,8,8,12
249,153,940,58,134,38
465,25,132,136,0,37
129,129,259,168,121,83
174,18,81,28,6,24
189,2,29,3,2,40
747,10,161,65,40,42
6,0,2,2,0,1
14,0,3,0,0,4
12,0,4,0,0,1
98,0,106,49,10,106
32,0,5,0,0,1
51,12,49,17,24,24
200,5,44,0,10,20
25,6,25,6,0,0
1050,12,144,0,0,24
117,0,22,13,0,30
9,4,17,10,2,7
56,0,11,0,0,8
145,13,46,17,2,4
203,0,10,0,0,2
270,3,27,39,6,99
9,0,16,6,6,10
37,12,23,8,11,52
46,0,7,0,0,2
31,1,13,7,2,9
1060,21,530,32,0,224
264,47,188,54,47,11
399,4,30,6,4,30
8,9,9,2,5,22
19,0,35,6,4,17
817,183,797,106,163,20
292,127,635,132,127,165
12,6,2,11,2,16
130,30,168,20,34,0
6,4,16,3,10,30
16,12,18,7,1,13
19,0,9,0,0,2
4,7,15,13,9,15
31,3,31,2,8,4
36,0,2,0,0,4
526,28,135,10,21,99
400,32,519,71,75,54
410,16,114,0,5,49
80,3,26,4,2,14
88,10,46,2,3,64
55,0,6,2,0,4
5,1,13,3,5,1
8,4,5,15,2,11
410,0,592,147,22,22
101,13,76,20,18,40
162,25,53,16,0,10
2,8,1,4,7,15
25,0,8,2,0,2
389,91,248,64,49,41
215,13,87,17,17,24
27,0,5,0,0,3
85,1,16,2,1,2
5,6,10,6,5,10
179,8,83,19,11,26
352,0,27,10,0,15
17,8,12,11,15,32
625,35,169,58,17,35
10,6,11,0,4,2
390,22,323,104,35,107
10,2,15,2,1,6
215,63,507,231,31,190
1001,17,572,93,125,17
19,18,33,24,1,8
41,5,129,10,3,3
1181,107,199,39,30,30
603,45,207,36,18,54
129,129,259,168,121,83
10,24,15,13,1,30
514,22,732,42,198,79
14,0,1,0,0,1
387,20,713,38,54,163
121,103,69,8,44,48
965,69,279,54,41,69
707,21,250,85,43,73
571,50,142,33,50,159
586,66,653,17,0,26
1063,89,102,16,12,25
305,3,27,4,3,144
1200,105,758,0,42,147
163,2,40,8,11,11
1009,181,104,202,21,207
125,6,73,8,4,19
721,0,152,119,50,50
315,4,62,41,31,146
1000,19,711,125,115,38
16,0,17,6,3,6
757,80,217,29,80,11
30,2,25,0,1,9
219,3,100,26,0,17
1,1,1,1,1,1
111,3,28,2,6,15
45,47,52,21,20,25
410,112,420,0,82,71
100,1,39,6,1,76
509,0,65,7,11,5
3,6,5,0,2,6
445,53,213,104,98,151
2,2,11,41,7,11
4,1,11,6,2,2
6,1,7,23,4,19
14,0,3,0,0,3
1,10,11,19,3,15
26,0,6,0,0,2
111,16,37,7,9,18
418,61,428,80,51,10
327,9,122,19,14,83
371,159,194,58,106,141
275,59,107,69,101,59
789,0,142,12,9,38
1,1,5,0,3,1
1004,12,145,32,12,36
187,81,149,25,43,91
56,4,76,17,1,18
365,32,117,34,110,6
595,23,123,10,23,154
1132,134,384,175,134,115
34,11,137,179,61,45
116,6,82,6,6,41
565,32,435,28,32,54
372,18,126,47,48,78
899,102,838,133,102,40
55,16,1622,17,3,4
760,40,480,0,40,26
260,86,559,63,9,67
459,0,24,6,0,4
466,0,224,119,49,99
67,15,80,17,11,80
2,0,7,3,7,10
67,1,20,0,2,31
92,4,18,3,3,6
4,2,11,2,0,4
20,1,28,3,3,2
273,11,178,62,83,29
434,22,388,104,22,34
321,11,309,33,26,34
212,123,177,15,64,23
909,12,278,0,12,242
1184,32,352,21,16,16
112,19,21,16,14,5
656,80,455,52,107,93
23,0,8,6,2,18
537,6,42,16,6,30
712,0,45,0,0,191
23,1,13,2,2,18
1,3,4,2,2,6
664,58,83,32,0,66
6,10,21,19,14,42
299,5,201,21,21,49
99,13,66,43,8,4
749,40,294,121,160,147
345,25,501,63,138,80
9,4,18,7,5,5
440,81,368,0,122,174
8,2,5,3,0,3
670,9,249,0,28,9
524,0,134,28,28,155
6,0,6,2,1,1
597,166,597,172,166,249
7,0,12,13,7,32
54,0,7,0,0,4
445,25,706,80,76,48
294,142,218,164,58,151
292,3,77,10,3,26
412,22,132,59,28,183
8,0,3,0,0,0
349,4,78,6,0,43
328,9,124,12,24,109
144,2,99,7,2,30
1126,28,211,37,28,42
967,0,617,43,50,0
432,79,341,177,136,170
138,39,63,55,18,21
0,0,1,7,4,6
509,133,497,78,24,97
948,10,86,13,21,21
39,2,25,4,3,24
28,1,21,3,0,10
13,11,24,13,8,40
307,26,360,138,31,40
901,31,345,75,31,191
2,5,12,4,8,7
283,17,372,138,106,44
4,3,7,0,3,11
769,80,252,15,34,65
518,42,742,55,56,84
350,8,66,17,4,4
445,53,213,104,98,151
778,178,689,41,27,44
709,93,374,104,80,80
359,35,314,93,116,89
799,12,375,16,12,12
895,10,101,13,0,152
40,2,23,0,4,23
76,0,7,0,0,16
11,5,22,12,5,11
245,16,223,21,43,16
647,107,391,175,67,40
39,1,9,2,1,34
203,35,305,46,17,227
138,3,38,4,0,59
587,51,898,247,0,86
595,97,291,127,133,121
43,12,23,29,15,61
301,7,74,10,0,58
180,32,348,76,32,90
794,115,243,150,0,205
392,5,91,28,26,112
39,1,22,3,4,12
107,2,12,2,2,12
13,0,3,0,0,0
70,0,17,0,0,6
680,11,392,75,0,0
26,1,11,0,1,4
522,0,522,227,120,134
412,12,546,78,182,0
6,5,5,8,0,5
2,3,6,4,1,9
1,3,8,2,5,5
6,2,15,6,6,3
4,12,5,3,16,17
18,2,19,0,2,6
324,48,186,39,18,198
327,9,125,25,4,139
229,27,71,13,3,34
521,168,706,80,76,61
184,23,446,30,23,23
4,8,11,12,2,13
183,2,64,7,2,12
31,19,35,26,14,52
219,3,60,12,9,12
479,28,136,75,14,35
584,44,212,46,8,177
627,91,597,159,91,15
24,1,16,12,2,5
330,5,159,36,27,16
19,1,10,2,1,8
28,23,29,29,14,47
606,148,228,15,148,22
1039,43,204,153,58,29
411,0,26,0,0,21
34,1,19,2,7,0
161,28,136,32,3,45
623,53,178,23,17,133
604,26,470,123,161,94
3,10,8,3,16,32
12,2,17,6,1,10
184,174,256,50,30,32
393,0,239,90,69,69
410,73,747,76,161,30
376,9,83,19,4,4
7,2,4,2,1,4
68,0,226,51,157,68
642,14,49,0,7,57
8,7,9,13,6,12
840,53,804,23,71,17
7,10,13,3,11,11
464,5,64,7,0,37
30,3,47,19,21,42
1492,38,287,50,57,33
752,122,476,39,153,34
1279,15,287,20,0,15
22,1,8,2,1,2
860,28,409,73,56,56
3,0,5,13,0,1
10,5,28,11,1,8
351,16,156,7,5,145
421,5,90,0,16,10
2,5,7,0,18,18
25,1,9,2,1,1
336,123,274,46,123,141
191,9,97,0,6,82
563,50,774,28,31,187
31,0,6,0,1,8
479,5,82,7,17,171
18,6,15,12,8,17
91,65,52,10,44,28
5,7,24,19,14,20
2,14,28,16,3,7
362,50,431,134,35,54
724,74,929,97,55,130
605,91,399,0,45,205
547,7,140,0,7,63
104,1,54,13,9,14
8,2,15,0,10,18
224,2,25,7,0,110
384,0,102,21,32,5
556,54,845,202,133,63
24,0,2,0,0,9
408,0,21,0,0,17
265,199,303,234,9,170
34,0,7,0,0,0
374,64,116,84,25,64
27,2,10,0,0,1
600,20,350,29,30,33
13,2,18,6,1,0
167,2,89,0,0,34
0,2,3,4,1,5
46,35,69,84,41,66
88,39,78,58,13,93
243,11,119,10,3,15
275,11,68,25,7,7
6,0,4,0,0,0
121,62,90,68,20,125
4,12,15,19,7,12
1308,0,396,23,0,0
515,47,267,62,66,38
4,0,16,17,4,4
48,13,57,24,15,25
562,58,168,43,16,142
769,22,500,210,143,33
379,4,93,12,9,98
29,12,59,19,1,36
387,68,569,89,45,68
12,23,38,30,18,7
6,10,12,3,15,40
27,1,14,4,1,21
9,1,5,0,0,1
22,0,19,6,5,3
899,102,838,133,102,40
889,55,685,168,92,129
189,2,55,0,5,12
48,0,2,0,0,5
230,14,156,82,24,58
852,60,207,78,36,48
35,3,20,4,1,20
205,20,47,23,2,56
255,31,446,40,56,175
0,0,1,8,3,2
437,8,206,160,49,42
825,8,53,11,0,242
316,58,161,76,51,135
756,138,354,160,169,61
194,55,134,15,0,3
7,17,18,6,10,26
183,33,493,59,103,57
171,0,11,0,1,20
243,101,405,29,40,40
181,21,69,39,3,96
151,7,89,0,7,28
494,92,391,194,11,241
464,28,873,29,18,37
5,1,5,10,0,7
29,0,29,0,5,4
102,9,49,24,3,12
604,28,674,91,28,28
571,12,523,63,60,24
953,0,71,0,0,174
63,3,67,8,9,28
770,29,890,250,27,24
398,61,265,138,61,53
741,19,154,50,9,28
1478,19,403,0,19,0
156,29,56,30,32,47
960,64,464,146,0,16
38,0,2,0,0,6
315,26,473,220,12,182
15,20,25,2,7,26
19,6,20,0,5,12
812,99,431,237,149,33
73,28,217,10,24,115
372,23,384,250,12,108
871,111,704,145,55,166
375,152,335,93,91,81
760,80,466,17,13,80
471,0,510,99,21,12
31,9,27,16,9,33
819,0,72,12,0,63
1,4,3,8,9,7
203,35,305,46,17,227
26,0,15,2,1,2
354,21,311,167,75,32
1253,0,447,23,71,35
371,17,238,23,24,106
588,7,76,110,15,15
480,86,249,75,86,144
517,12,54,16,6,120
267,98,606,48,70,98
1111,24,790,160,45,172
7,7,14,7,16,15
1166,0,48,0,0,36
261,42,144,55,48,133
135,25,51,23,25,46
6,2,18,2,8,14
711,28,142,49,18,47
11,0,13,2,4,11
42,0,17,0,0,18
79,7,58,6,3,18
20,6,43,19,5,38
30,0,8,2,0,14
20,2,23,3,1,4
115,27,44,4,146,139
263,5,233,69,41,83
69,2,15,2,2,6
267,3,30,4,0,57
561,85,171,25,123,114
492,0,37,7,0,42
14,7,9,6,16,12
80,4,46,0,17,2
97,12,84,13,10,15
197,107,227,7,59,131
693,21,925,31,24,84
43,2,27,0,9,12
14,0,2,0,0,7
186,36,234,86,72,48
434,137,400,45,137,45
59,0,11,4,2,5
16,5,30,8,7,26
230,35,75,63,57,31
829,138,430,60,92,15
318,8,407,150,35,8
1206,55,445,168,18,18
292,3,77,10,3,26
30,9,12,2,11,30
729,17,133,11,0,195
12,1,3,0,0,7
2,1,1,1,0,1
22,3,18,0,0,11
587,43,337,42,87,54
674,168,108,192,42,231
284,3,84,4,7,23
1023,93,651,49,55,37
1394,22,708,89,91,182
311,26,640,180,37,121
27,0,12,0,1,5
1296,17,311,45,69,51
3,6,7,0,0,3
393,5,136,7,5,27
218,63,282,137,35,70
66,0,16,0,6,20
4,2,11,2,0,4
795,0,545,95,58,0
15,10,19,8,17,20
384,25,292,130,41,64
244,8,32,7,2,50
158,19,288,25,0,38
1285,21,449,106,20,20
349,16,144,28,5,182
4,12,11,3,13,15
223,2,31,0,2,39
157,43,127,68,56,37
397,46,288,20,38,70
901,31,345,75,31,191
14,3,21,2,1,28
10,0,3,0,0,4
1230,0,396,232,178,158
81,1,31,2,1,0
154,20,66,0,12,27
63,0,21,7,0,12
30,0,11,0,0,3
90,67,165,30,43,11
635,114,254,132,152,76
127,4,73,15,6,11
13,3,6,6,5,6
18,42,24,15,20,18
45,2,26,4,1,1
38,1,24,0,0,0
986,36,168,16,0,108
61,0,3,0,0,7
4,9,16,17,0,12
201,53,172,116,77,83
19,8,29,0,12,26
4,8,11,19,12,26
18,0,2,0,0,2
806,80,161,120,11,33
380,98,733,110,112,28
576,172,961,125,115,19
458,81,356,106,50,40
5,10,13,3,8,16
350,60,568,110,133,145
39,33,130,41,26,44
26,1,16,2,2,15
68,0,16,0,0,8
45,3,9,4,4,7
359,0,134,13,26,123
403,24,29,6,24,218
34,1,14,0,0,5
73,18,66,7,12,2
292,30,415,63,33,200
14,0,16,0,0,6
80,1,37,0,1,3
30,11,33,13,6,29
463,96,333,168,53,10
75,12,141,43,39,187
538,13,91,17,6,26
635,114,254,132,152,76
8,0,3,0,0,1
1315,22,780,145,0,178
4,2,12,7,5,26
12,0,13,2,0,10
347,44,534,17,0,26
192,5,53,0,5,15
241,0,12,0,0,25
631,28,491,30,14,56
336,28,282,184,54,54
1099,0,45,0,0,34
743,19,181,12,0,200
124,83,267,85,59,35
15,0,8,4,2,20
397,19,69,12,0,9
10,4,4,3,3,14
530,117,678,134,44,147
1215,33,249,64,116,149
3,2,7,0,4,2
444,44,382,11,8,17
26,0,15,2,1,2
736,114,279,82,76,190
473,21,176,19,21,56
32,0,5,2,0,8
288,10,30,4,10,125
1050,178,555,77,138,118
1001,44,107,58,44,44
9,1,7,0,3,2
234,14,77,19,10,42
7,2,6,2,0,3
251,108,334,65,92,117
172,10,125,21,13,16
565,42,548,64,83,99
5,0,8,2,0,0
918,57,842,99,38,133
652,8,158,21,0,142
4,1,7,2,1,2
152,27,103,106,54,81
8,0,9,2,1,3
336,130,411,240,32,43
938,19,843,25,95,38
68,8,18,19,8,12
227,23,389,42,21,75
38,4,22,3,3,3
105,0,9,2,1,4
162,50,100,55,30,27
574,8,216,21,16,33
160,80,369,67,39,41
6,0,5,0,0,1
614,35,160,58,35,35
897,161,430,186,161,27
70,54,109,80,9,45
120,19,206,25,19,54
211,2,30,7,7,10
11,0,16,7,6,21
760,53,400,17,93,0
53,0,8,0,0,2
7,4,13,15,8,17
391,32,70,21,32,16
199,9,57,20,21,6
516,56,449,86,33,16
709,45,115,30,160,45
12,0,4,0,0,0
1000,19,711,125,115,38
19,3,18,3,1,0
1224,28,140,0,14,168
16,2,18,3,0,24
88,39,54,64,28,153
2,23,11,8,6,46
508,11,59,23,5,29
381,28,215,84,28,21
74,0,42,2,1,6
146,0,93,7,13,73
23,17,23,43,20,9
110,5,137,26,23,29
165,3,147,4,24,41
957,47,494,82,47,95
41,0,17,3,1,16
1,3,4,2,3,11
176,29,818,0,33,112
815,8,53,11,0,70
6,1,2,2,0,4
8,4,20,6,3,16
717,42,864,219,30,84
1067,138,750,0,19,39
166,5,107,11,8,29
29,4,34,2,4,4
714,76,395,116,0,12
8,4,10,2,2,4
229,5,56,3,2,20
320,48,133,39,72,48
23,0,26,7,15,3
1,5,8,4,8,20
56,0,12,0,0,18
508,124,249,50,38,134
29,0,25,2,2,3
46,7,59,2,4,27
454,0,171,8,19,32
350,3,39,0,0,19
10,0,8,0,0,9
735,40,183,52,20,30
897,126,196,91,112,37
5,2,3,3,0,5
