,ID,Year_Birth,Education,Marital_Status,Income,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,numberofkids,Age,AgeCategory
54,9381,1978,Graduation,married,66373,12-06-2013,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,3,11,0,2,35,Adult
55,6260,1955,Master,married,82384,19-11-2012,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,3,11,1,0,57,Elder
56,10383,1966,Graduation,divorced,70287,02-04-2013,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,3,11,1,0,47,Adult
57,7437,1988,Graduation,unmarried,27938,28-04-2014,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,3,11,0,1,26,Adult
58,8557,1982,Graduation,unmarried,,17-06-2013,57,11,3,22,2,2,6,2,2,0,3,6,0,0,0,0,0,0,3,11,0,1,31,Adult
59,8375,1968,PhD,married,55954,03-03-2014,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,3,11,0,1,46,Adult
60,6853,1982,Master,unmarried,75777,04-07-2013,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,3,11,1,0,31,Adult
61,3076,1975,Graduation,married,66653,07-09-2012,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,3,11,0,2,37,Adult
62,1012,1952,Graduation,unmarried,61823,18-02-2013,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,3,11,0,1,61,Elder
63,6518,1951,PhD,unmarried,67680,11-06-2013,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,3,11,0,1,62,Elder
64,4137,1948,Graduation,married,70666,06-12-2013,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,3,11,0,0,65,Elder
65,8082,1971,Graduation,married,25721,21-05-2013,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,3,11,1,1,42,Adult
66,1386,1967,Graduation,married,32474,11-05-2014,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,3,11,0,2,47,Adult
67,9369,1979,2n Cycle,unmarried,88194,19-03-2014,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,3,11,1,1,35,Adult
68,4477,1958,Graduation,married,69096,27-09-2013,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,3,11,0,1,55,Elder
69,1357,1970,Graduation,married,74854,08-04-2013,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,3,11,0,3,43,Adult
70,1402,1954,Master,married,66991,11-09-2012,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,3,11,0,0,58,Elder
71,10629,1973,2n Cycle,married,,14-09-2012,25,25,3,43,17,4,17,3,3,0,3,8,0,0,0,0,0,0,3,11,0,1,39,Adult
72,6312,1959,Graduation,married,65031,17-03-2013,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,3,11,0,1,54,Elder
73,8132,1975,PhD,married,60631,05-04-2013,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,3,11,0,2,38,Adult
74,1050,1952,Graduation,married,28332,30-04-2014,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,3,11,0,0,62,Elder
75,5846,1977,Graduation,divorced,40246,19-12-2012,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,3,11,0,1,35,Adult
76,1859,1972,Master,married,75251,27-08-2012,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,3,11,1,0,40,Adult
77,7503,1976,Graduation,unmarried,75825,12-10-2012,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,3,11,1,0,36,Adult
78,10401,1976,2n Cycle,married,26326,04-09-2013,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,3,11,0,0,37,Adult
79,1618,1965,Graduation,married,56046,02-01-2013,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,3,11,1,0,48,Adult
80,3332,1985,Graduation,unmarried,29760,29-08-2012,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,3,11,0,1,27,Adult
81,2261,1969,Graduation,married,26304,23-06-2013,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,3,11,0,1,44,Adult
82,5346,1973,2n Cycle,married,23559,03-07-2013,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,3,11,0,1,40,Adult
83,4119,1963,Master,married,38620,11-05-2013,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0,0,50,Elder
84,535,1987,Graduation,divorced,81361,25-02-2014,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,3,11,0,0,27,Adult
85,5268,1960,Graduation,married,29440,11-08-2013,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,3,11,0,2,53,Elder
86,273,1970,Master,married,36138,16-07-2013,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,3,11,0,2,43,Adult
87,4452,1957,Graduation,unmarried,50388,28-05-2014,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,3,11,1,1,57,Elder
88,8504,1973,Graduation,married,79593,12-05-2014,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,3,11,0,0,41,Adult
89,771,1967,Graduation,married,54178,21-01-2014,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,3,11,0,1,47,Adult
90,8996,1957,PhD,married,,19-11-2012,4,230,42,192,49,37,53,12,7,2,8,9,0,0,0,0,0,0,3,11,0,3,55,Elder
91,9235,1957,Graduation,unmarried,,27-05-2014,45,7,0,8,2,0,1,1,1,0,2,7,0,0,0,0,0,0,3,11,0,2,57,Elder
92,5798,1973,Master,married,,23-11-2013,87,445,37,359,98,28,18,1,2,4,8,1,0,0,0,0,0,0,3,11,0,0,40,Adult
93,11178,1972,Master,unmarried,42394,23-03-2014,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,3,11,0,1,42,Adult
94,2230,1970,PhD,married,23626,24-05-2014,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,3,11,0,1,44,Adult
95,7516,1983,Graduation,married,30096,22-05-2014,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,3,11,0,1,31,Adult
96,7247,1960,Graduation,unmarried,47916,22-11-2012,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,3,11,0,1,52,Elder
97,11100,1972,Graduation,divorced,51813,11-04-2013,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,3,11,0,2,41,Adult
98,4646,1951,2n Cycle,married,78497,01-12-2013,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,3,11,0,0,62,Elder
99,3037,1983,PhD,married,50150,20-06-2013,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,3,11,0,0,30,Adult
100,1473,1960,2n Cycle,unmarried,47823,23-07-2013,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,3,11,0,1,53,Elder
101,1016,1959,PhD,unmarried,34554,30-03-2014,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,3,11,0,1,55,Elder
102,4518,1979,Graduation,married,85693,20-04-2013,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,3,11,0,1,34,Adult
103,9370,1945,PhD,married,65846,17-05-2013,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,3,11,0,0,68,Elder
104,8908,1959,Graduation,married,87195,08-05-2014,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,3,11,1,0,55,Elder
105,8373,1979,Basic,married,24594,10-12-2013,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,3,11,0,1,34,Adult
106,7533,1964,Graduation,married,49096,24-09-2013,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,3,11,0,2,49,Adult
107,2683,1969,Graduation,married,52413,02-02-2013,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,3,11,0,2,44,Adult
108,3629,1978,Graduation,unmarried,38557,19-12-2012,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,3,11,0,1,34,Adult
109,10991,1960,Master,married,89058,07-12-2012,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,3,11,0,0,52,Elder
110,5077,1979,Graduation,married,77298,02-11-2013,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,3,11,0,1,34,Adult
111,7431,1991,PhD,unmarried,68126,10-11-2012,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,3,11,1,0,21,Adult
112,3267,1963,Master,married,57288,25-06-2014,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,3,11,0,1,51,Elder
113,999,1991,Graduation,unmarried,86037,02-01-2013,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,3,11,1,0,22,Adult
114,9215,1980,PhD,married,43974,12-12-2012,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,3,11,0,1,32,Adult
115,2286,1962,Graduation,unmarried,50785,10-09-2013,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,3,11,0,2,51,Elder
116,1592,1970,Graduation,married,90765,24-01-2014,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,3,11,0,0,44,Adult
117,367,1978,2n Cycle,married,36550,19-02-2013,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,3,11,0,1,35,Adult
118,5234,1967,2n Cycle,married,30753,11-07-2013,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,3,11,0,2,46,Adult
119,9862,1969,Graduation,married,21918,14-11-2013,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,3,11,0,1,44,Adult
120,9805,1953,Master,married,56129,20-06-2013,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,3,11,0,1,60,Elder
121,6205,1967,Master,unmarried,32557,24-02-2014,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,3,11,1,1,47,Adult
122,8442,1985,Master,married,19510,04-09-2013,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,3,11,0,2,28,Adult
123,7386,1976,Graduation,divorced,30992,22-04-2013,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,3,11,0,1,37,Adult
124,7215,1983,Graduation,unmarried,101970,12-03-2013,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,3,11,1,0,30,Adult
125,1491,1965,2n Cycle,married,71488,18-02-2013,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,3,11,0,0,48,Adult
126,11071,1984,Graduation,unmarried,79607,21-04-2013,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,3,11,1,0,29,Adult
127,3381,1953,Master,married,54348,08-06-2014,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,3,11,0,2,61,Elder
128,8268,1961,PhD,married,,11-07-2013,23,352,0,27,10,0,15,3,6,1,7,6,0,0,0,0,0,0,3,11,0,1,52,Elder
129,11051,1956,PhD,married,77376,10-05-2014,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,3,11,0,2,58,Elder
130,8026,1952,Graduation,married,62998,30-09-2013,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,3,11,0,1,61,Elder
131,433,1958,Master,unmarried,61331,10-03-2013,42,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,3,11,0,2,55,Elder
132,9597,1969,Graduation,married,73448,10-02-2014,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,3,11,0,0,45,Adult
133,1295,1963,Graduation,married,,11-08-2013,96,231,65,196,38,71,124,1,6,5,7,4,0,0,0,0,0,0,3,11,0,1,50,Elder
134,5290,1964,PhD,married,41551,14-08-2013,51,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,3,11,0,2,49,Adult
135,1685,1967,PhD,married,62981,17-03-2013,21,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,3,11,0,0,46,Adult
136,5342,1976,Basic,divorced,9548,08-08-2012,31,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,3,11,0,1,36,Adult
137,9579,1959,PhD,married,33762,07-07-2013,61,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,3,11,0,3,54,Elder
138,7660,1973,PhD,unmarried,35860,19-05-2014,37,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,0,3,11,1,2,41,Adult
139,1461,1965,PhD,divorced,36921,28-07-2013,74,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,3,11,0,2,48,Adult
140,821,1992,Master,unmarried,92859,19-10-2012,46,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,3,11,0,0,20,Adult
141,11084,1976,Master,married,65104,14-11-2013,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,3,11,1,1,37,Adult
142,8690,1962,Graduation,married,86111,19-04-2013,73,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0,3,11,0,0,51,Elder
143,2937,1974,PhD,unmarried,68352,28-08-2013,47,614,16,132,43,33,33,3,8,5,9,6,0,0,0,0,0,0,3,11,0,1,39,Adult
144,9701,1988,Graduation,married,41883,19-03-2013,13,32,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0,0,3,11,0,1,25,Adult
145,9949,1976,Graduation,married,59809,18-10-2012,36,598,16,141,32,41,49,3,3,3,6,8,0,0,0,0,0,0,3,11,0,2,36,Adult
146,10837,1975,Graduation,married,23957,28-10-2012,47,2,1,18,20,11,16,1,2,0,3,6,0,0,0,0,0,0,3,11,1,1,37,Adult
147,3120,1981,Graduation,married,38547,28-08-2013,49,6,1,10,0,1,4,1,1,0,2,8,0,0,0,0,0,1,3,11,0,1,32,Adult
148,5885,1973,2n Cycle,married,35688,22-08-2012,94,73,3,90,12,1,32,7,4,1,4,8,0,0,0,0,0,0,3,11,0,3,39,Adult
149,4050,1966,Master,married,49605,21-06-2014,65,42,16,29,12,20,8,1,2,1,4,3,0,0,0,0,0,0,3,11,0,0,48,Adult
150,3830,1953,Master,married,59354,24-04-2014,59,295,21,78,39,13,13,1,4,4,7,3,0,0,0,0,0,0,3,11,0,2,61,Elder
151,7987,1969,Graduation,married,65747,07-03-2014,96,346,17,48,23,13,13,4,8,1,6,6,0,1,0,0,0,0,3,11,0,1,45,Adult
152,7798,1972,2n Cycle,married,46344,14-12-2012,28,233,20,57,8,20,91,4,7,1,5,7,0,0,0,0,0,0,3,11,0,1,40,Adult
153,92,1988,Graduation,unmarried,34176,12-05-2014,12,5,7,24,19,14,20,4,3,0,4,6,0,0,0,0,0,0,3,11,0,1,26,Adult
154,7055,1952,PhD,married,61010,09-10-2012,57,888,0,57,0,0,76,2,8,5,11,5,0,0,0,0,0,0,3,11,0,1,60,Elder
155,10240,1949,Graduation,married,69372,19-02-2013,10,997,26,269,34,13,42,1,10,4,6,4,0,1,1,0,0,0,3,11,1,0,64,Elder
156,3025,1958,Graduation,unmarried,49967,08-07-2013,4,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,3,11,0,1,55,Elder
157,9283,1978,Graduation,unmarried,60199,12-09-2013,49,8,1,7,2,0,0,1,0,0,3,4,0,0,0,0,0,0,3,11,0,3,35,Adult
158,9970,1977,Graduation,married,55375,17-10-2013,3,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,3,11,0,1,36,Adult
159,2730,1955,Graduation,unmarried,80317,20-08-2013,64,536,11,387,149,91,57,1,3,4,10,1,0,0,0,0,0,0,3,11,0,0,58,Elder
160,2795,1958,Master,unmarried,30523,01-07-2013,0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,3,11,0,3,55,Elder
161,9260,1945,PhD,married,70356,05-11-2012,20,1349,16,249,43,16,33,2,10,6,9,6,0,0,0,0,0,0,3,11,0,0,67,Elder
162,8182,1984,Graduation,married,23228,05-01-2014,91,53,3,49,7,4,5,4,3,0,4,8,0,0,0,0,0,0,3,11,0,1,30,Adult
163,10095,1975,PhD,divorced,74165,01-05-2013,9,1001,12,240,16,12,12,1,5,4,10,2,0,0,0,0,0,0,3,11,0,0,38,Adult
164,8475,1973,PhD,married,157243,01-03-2014,98,20,2,1582,1,2,1,15,0,22,0,0,0,0,0,0,0,0,3,11,0,1,41,Adult
165,4370,1966,Graduation,married,43482,13-11-2013,83,18,1,32,6,3,28,3,2,0,4,6,0,0,0,0,0,0,3,11,0,3,47,Adult
166,10573,1953,Graduation,divorced,62551,18-11-2013,27,125,16,98,134,21,27,1,6,7,4,3,1,0,0,0,0,0,3,11,0,0,60,Elder
167,3712,1959,Graduation,divorced,52332,28-08-2013,63,212,5,33,7,0,2,1,3,2,6,4,0,1,0,0,0,0,3,11,0,0,54,Elder
168,6637,1988,Graduation,unmarried,66951,02-11-2013,46,277,162,305,173,76,124,1,3,4,7,1,0,0,0,0,0,0,3,11,0,0,25,Adult
169,3152,1957,Graduation,married,26091,25-02-2014,84,15,10,19,8,17,20,3,2,1,3,5,0,0,0,0,0,0,3,11,0,2,57,Elder
170,5610,1965,Graduation,married,33456,21-04-2014,58,7,3,10,8,1,7,2,1,0,3,7,0,0,0,0,0,0,3,11,0,2,49,Adult
171,6460,1982,Graduation,married,28718,13-07-2013,78,12,4,6,11,8,16,2,2,0,3,8,0,0,0,0,0,0,3,11,0,1,31,Adult
172,1349,1970,Graduation,married,50447,21-04-2014,4,85,7,24,2,3,27,1,3,1,3,6,0,0,0,0,0,0,3,11,0,2,44,Adult
173,1880,1959,PhD,married,53537,30-01-2014,17,81,0,6,0,0,6,2,2,1,3,5,0,0,0,0,0,0,3,11,0,2,55,Elder
174,641,1967,Graduation,unmarried,52074,04-04-2014,77,59,0,12,0,0,48,1,2,2,2,4,1,0,0,0,0,0,3,11,0,1,47,Adult
175,8717,1975,PhD,married,80427,12-09-2012,56,1149,71,449,69,71,26,1,11,8,8,5,0,0,0,0,0,0,3,11,0,1,37,Adult
176,10314,1948,PhD,married,83837,16-12-2012,79,847,66,119,86,89,111,1,9,10,5,4,0,1,0,1,0,0,3,11,1,0,64,Elder
177,10854,1970,PhD,married,38853,23-05-2014,90,29,0,14,0,0,2,2,2,0,3,7,0,0,0,0,0,0,3,11,0,2,44,Adult
178,10492,1959,Graduation,married,38285,24-06-2014,96,2,0,5,2,0,1,1,0,0,3,2,0,0,0,0,0,0,3,11,0,3,55,Elder
