,ID,Year_Birth,Marital_Status,Income,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,numberofkids,Age,x0_2n Cycle,x0_Basic,x0_Graduation,x0_Master,x0_PhD
19,2278,1985.0,0,33812.0,03-11-2012,86,4.0,17.0,19.0,30.0,24.0,39.0,2.0,2.0,1.0,3,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3,11,0,1,27.0,1.0,0.0,0.0,0.0,0.0
20,9360,1982.0,1,37040.0,08-08-2012,41,86.0,2.0,73.0,69.0,38.0,48.0,1.0,4.0,2.0,5,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3,11,0,0,30.0,0.0,0.0,1.0,0.0,0.0
21,5376,1979.0,1,2447.0,06-01-2013,42,1.0,1.0,166.95,1.0,1.0,1.0,2.325,0.0,2.6620535714285714,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,11,0,1,34.0,0.0,0.0,1.0,0.0,0.0
22,1993,1949.0,1,58607.0,23-12-2012,63,867.0,0.0,86.0,0.0,0.0,19.0,3.0,2.0,3.0,9,8.0,0.0,0.07455357142857143,0.0,0.0,0.0,0.0,3,11,0,1,63.0,0.0,0.0,0.0,0.0,1.0
23,4047,1954.0,1,65324.0,11-01-2014,0,384.0,0.0,102.0,21.0,32.0,5.0,3.0,6.0,2.0,9,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3,11,0,1,60.0,0.0,0.0,0.0,0.0,1.0
24,1409,1951.0,1,40689.0,18-03-2013,69,270.0,3.0,27.0,39.0,6.0,99.0,7.0,7.0,1.0,5,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3,11,0,1,62.0,0.0,0.0,1.0,0.0,0.0
25,7892,1969.0,0,18589.0,02-01-2013,89,6.0,4.0,25.0,15.0,12.0,13.0,2.0,2.0,1.0,3,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3,11,0,0,44.0,0.0,0.0,1.0,0.0,0.0
26,2404,1976.0,1,53359.0,27-05-2013,4,173.0,4.0,30.0,3.0,6.0,41.0,4.0,5.0,1.0,4,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3,11,0,2,37.0,0.0,0.0,1.0,0.0,0.0
27,5255,1986.0,0,51635.853344237505,20-02-2013,19,5.0,1.0,3.0,3.0,27.06294642857143,44.021875,0.0,4.084821428571429,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,11,0,1,27.0,0.0,0.0,1.0,0.0,0.0
28,9422,1989.0,1,38360.0,31-05-2013,26,36.0,2.0,42.0,20.0,21.0,10.0,2.0,2.0,1.0,4,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3,11,0,1,24.0,0.0,0.0,1.0,0.0,0.0
29,1966,1965.0,1,84618.0,22-11-2013,96,684.0,100.0,801.0,21.0,66.0,0.0,1.0,6.0,9.0,10,2.0,0.0,0.0,0.07276785714285715,0.0,0.0,0.0,3,11,0,0,48.0,0.0,0.0,0.0,0.0,1.0
30,6864,1989.0,0,10979.0,22-05-2014,34,8.0,4.0,10.0,2.0,2.0,4.0,2.0,3.0,0.0,3,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3,11,0,0,25.0,0.0,0.0,0.0,1.0,0.0
31,3033,1963.0,1,38620.0,11-05-2013,56,112.0,17.0,44.0,34.0,22.0,89.0,1.0,2.0,5.0,3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3,11,0,0,50.0,0.0,0.0,0.0,1.0,0.0
32,5710,1970.0,1,40548.0,10-10-2012,31,110.0,0.0,5.0,2.0,0.0,3.0,2.0,2.0,1.0,4,5.0,0.0,0.07455357142857143,0.0,0.0,0.0,0.0,3,11,0,1,42.0,0.0,0.0,1.0,0.0,0.0
33,7373,1952.0,0,46610.0,29-10-2012,8,96.0,12.0,96.0,33.0,22.0,43.0,6.0,4.0,1.0,6,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3,11,1,2,60.0,0.0,0.0,0.0,0.0,1.0
34,8755,1946.0,1,68657.0,20-02-2013,4,482.0,34.0,471.0,119.0,68.0,22.0,1.0,3.0,5.0,9,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3,11,0,0,67.0,0.0,0.0,0.0,1.0,0.0
35,10738,1951.0,0,49389.0,29-08-2013,55,40.0,0.0,19.0,2.0,1.0,3.0,1.0,2.0,0.0,3,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3,11,0,2,62.0,0.0,0.0,0.0,1.0,0.0
36,4339,1970.0,1,67353.0,31-12-2013,37,702.0,17.0,151.0,0.0,8.0,35.0,5.0,5.0,6.0,12,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3,11,0,1,43.0,0.0,0.0,0.0,0.0,1.0
37,10755,1976.0,1,23718.0,02-09-2013,76,6.0,3.0,14.0,15.0,7.0,36.0,3.0,3.0,1.0,2,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3,11,0,1,37.0,1.0,0.0,0.0,0.0,0.0
38,8595,1973.0,0,42429.0,11-02-2014,99,55.0,0.0,6.0,2.0,0.0,4.0,2.0,1.0,1.0,3,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3,11,0,1,41.0,0.0,0.0,1.0,0.0,0.0
39,2968,1943.0,0,48948.0,01-02-2013,53,437.0,8.0,206.0,160.0,49.0,42.0,2.0,7.0,10.0,5,6.0,0.07276785714285715,0.0,0.0,0.0,0.0,0.0,3,11,1,0,70.0,0.0,0.0,0.0,0.0,1.0
40,8601,1980.0,1,80011.0,29-04-2013,3,421.0,76.0,536.0,82.0,27.06294642857143,102.0,2.0,8.0,6.0,5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3,11,0,1,33.0,0.0,0.0,1.0,0.0,0.0
41,503,1985.0,1,20559.0,12-03-2013,88,13.0,1.0,29.0,3.0,0.0,7.0,2.0,2.0,0.0,3,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3,11,0,1,28.0,0.0,0.0,0.0,1.0,0.0
42,8430,1957.0,1,21994.0,24-12-2012,4,9.0,0.0,6.0,3.0,1.0,3.0,1.0,0.0,0.0,3,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3,11,0,1,55.0,0.0,0.0,1.0,0.0,0.0
43,7281,1959.0,0,51635.853344237505,05-11-2013,80,81.0,11.0,50.0,3.0,2.0,39.0,1.0,1.0,3.0,4,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3,11,0,0,54.0,0.0,0.0,0.0,0.0,1.0
44,2139,1975.0,1,7500.0,02-10-2013,19,3.0,1.0,10.0,3.0,2.0,12.0,3.0,2.0,0.0,3,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3,11,0,1,38.0,0.0,0.0,0.0,1.0,0.0
45,1371,1976.0,0,79941.0,28-06-2014,72,123.0,26.302232142857143,266.0,37.52544642857143,30.0,174.0,1.0,2.0,4.0,9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,11,0,0,38.0,0.0,0.0,1.0,0.0,0.0
46,9909,1996.0,1,7500.0,09-11-2012,24,3.0,18.0,14.0,15.0,22.0,50.0,3.0,3.0,1.0,3,9.0,0.0,0.0,0.0,0.0,0.0,0.0,3,11,1,0,16.0,1.0,0.0,0.0,0.0,0.0
47,7286,1968.0,1,41728.0,24-05-2013,92,13.0,6.0,15.0,3.0,5.0,13.0,1.0,2.0,0.0,2,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3,11,0,1,45.0,0.0,0.0,1.0,0.0,0.0
48,7244,1951.0,0,51635.853344237505,01-01-2014,96,48.0,5.0,48.0,6.0,10.0,7.0,3.0,2.0,1.0,4,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3,11,0,3,63.0,0.0,0.0,1.0,0.0,0.0
49,6566,1954.0,1,72550.0,08-11-2012,39,826.0,50.0,317.0,50.0,38.0,38.0,2.325,5.0,2.0,12,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3,11,0,2,58.0,0.0,0.0,0.0,0.0,1.0
50,8614,1957.0,0,65486.0,12-05-2014,29,245.0,19.0,125.0,37.0,67.0,14.0,1.0,4.0,2.0,10,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3,11,0,1,57.0,0.0,0.0,1.0,0.0,0.0
51,4114,1964.0,1,79143.0,11-08-2012,2,650.0,37.0,780.0,27.0,27.06294642857143,32.0,1.0,6.0,9.0,13,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3,11,0,0,48.0,0.0,0.0,0.0,1.0,0.0
52,1331,1977.0,0,35790.0,02-01-2013,54,12.0,6.0,20.0,30.0,1.0,3.0,2.0,2.0,0.0,3,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3,11,0,1,36.0,0.0,0.0,1.0,0.0,0.0
53,2225,1977.0,0,82582.0,07-06-2014,54,510.0,120.0,550.0,156.0,40.0,44.021875,1.0,4.0,9.0,7,1.0,0.07276785714285715,0.0,0.0,0.06428571428571428,0.0,0.0,3,11,1,0,37.0,0.0,0.0,1.0,0.0,0.0
54,9381,1978.0,1,66373.0,12-06-2013,57,328.0,9.0,124.0,12.0,24.0,109.0,7.0,4.0,2.0,10,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3,11,0,2,35.0,0.0,0.0,1.0,0.0,0.0
55,6260,1955.0,1,82384.0,19-11-2012,55,984.0,51.0,432.0,180.0,120.0,190.0,1.0,3.0,10.0,13,1.0,0.0,0.0,0.07276785714285715,0.0,0.0,0.0,3,11,1,0,57.0,0.0,0.0,0.0,1.0,0.0
56,10383,1966.0,0,70287.0,02-04-2013,30,295.0,35.0,482.0,121.0,120.0,40.0,1.0,5.0,5.0,10,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3,11,1,0,47.0,0.0,0.0,1.0,0.0,0.0
57,7437,1988.0,0,27938.0,28-04-2014,31,13.0,0.0,8.0,2.0,1.0,5.0,1.0,1.0,0.0,4,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3,11,0,1,26.0,0.0,0.0,1.0,0.0,0.0
58,8557,1982.0,0,51635.853344237505,17-06-2013,57,11.0,3.0,22.0,2.0,2.0,6.0,2.0,2.0,0.0,3,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3,11,0,1,31.0,0.0,0.0,1.0,0.0,0.0
59,8375,1968.0,1,55954.0,03-03-2014,63,447.0,0.0,28.0,0.0,0.0,43.0,3.0,8.0,2.0,6,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3,11,0,1,46.0,0.0,0.0,0.0,0.0,1.0
60,6853,1982.0,0,75777.0,04-07-2013,12,712.0,26.0,538.0,69.0,13.0,80.0,1.0,3.0,6.0,11,1.0,0.0,0.07455357142857143,0.07276785714285715,0.0,0.0,0.0,3,11,1,0,31.0,0.0,0.0,0.0,1.0,0.0
61,3076,1975.0,1,66653.0,07-09-2012,18,452.0,18.0,102.0,16.0,18.0,6.0,4.0,4.0,2.0,12,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3,11,0,2,37.0,0.0,0.0,1.0,0.0,0.0
62,1012,1952.0,0,61823.0,18-02-2013,26,523.0,7.0,134.0,37.0,14.0,169.0,4.0,8.0,2.0,10,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3,11,0,1,61.0,0.0,0.0,1.0,0.0,0.0
63,6518,1951.0,0,67680.0,11-06-2013,8,546.0,0.0,48.0,0.0,6.0,6.0,1.0,7.0,3.0,8,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3,11,0,1,62.0,0.0,0.0,0.0,0.0,1.0
64,4137,1948.0,1,70666.0,06-12-2013,29,398.0,40.0,367.0,119.0,122.0,30.0,1.0,7.0,4.0,4,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3,11,0,0,65.0,0.0,0.0,1.0,0.0,0.0
65,8082,1971.0,1,25721.0,21-05-2013,75,1.0,3.0,6.0,3.0,6.0,15.0,1.0,1.0,1.0,2,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3,11,1,1,42.0,0.0,0.0,1.0,0.0,0.0
66,1386,1967.0,1,32474.0,11-05-2014,0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3,11,0,2,47.0,0.0,0.0,1.0,0.0,0.0
67,9369,1979.0,0,88194.0,19-03-2014,19,688.0,14.0,309.0,201.0,24.0,38.0,1.0,11.0,10.0,10,5.0,0.07276785714285715,0.0,0.0,0.06428571428571428,0.0,0.0,3,11,1,1,35.0,1.0,0.0,0.0,0.0,0.0
68,4477,1958.0,1,69096.0,27-09-2013,4,247.0,49.0,159.0,7.0,82.0,109.0,1.0,5.0,2.0,10,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3,11,0,1,55.0,0.0,0.0,1.0,0.0,0.0
69,1357,1970.0,1,74854.0,08-04-2013,90,856.0,59.0,487.0,58.0,29.0,73.0,7.0,2.0,5.0,5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3,11,0,3,43.0,0.0,0.0,1.0,0.0,0.0
70,1402,1954.0,1,66991.0,11-09-2012,1,496.0,36.0,460.0,189.0,60.0,12.0,3.0,4.0,8.0,6,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3,11,0,0,58.0,0.0,0.0,0.0,1.0,0.0
71,10629,1973.0,1,51635.853344237505,14-09-2012,25,25.0,3.0,43.0,17.0,4.0,17.0,3.0,3.0,0.0,3,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3,11,0,1,39.0,1.0,0.0,0.0,0.0,0.0
72,6312,1959.0,1,65031.0,17-03-2013,29,258.0,107.0,291.0,84.0,37.0,86.0,4.0,10.0,3.0,13,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3,11,0,1,54.0,0.0,0.0,1.0,0.0,0.0
73,8132,1975.0,1,60631.0,05-04-2013,88,565.0,6.0,65.0,0.0,6.0,19.0,5.0,9.0,2.0,8,7.0,0.0,0.07455357142857143,0.0,0.0,0.0,0.0,3,11,0,2,38.0,0.0,0.0,0.0,0.0,1.0
74,1050,1952.0,1,28332.0,30-04-2014,58,14.0,10.0,13.0,4.0,15.0,9.0,1.0,2.0,1.0,4,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3,11,0,0,62.0,0.0,0.0,1.0,0.0,0.0
75,5846,1977.0,0,40246.0,19-12-2012,68,2.0,1.0,6.0,2.0,1.0,1.0,1.0,1.0,0.0,2,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3,11,0,1,35.0,0.0,0.0,1.0,0.0,0.0
76,1859,1972.0,1,75251.0,27-08-2012,34,721.0,111.0,166.95,97.0,18.0,18.0,1.0,7.0,6.0,5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3,11,1,0,40.0,0.0,0.0,0.0,1.0,0.0
77,7503,1976.0,0,75825.0,12-10-2012,40,1032.0,105.0,779.0,137.0,105.0,51.0,0.0,5.0,8.0,9,4.0,0.07276785714285715,0.0,0.0,0.0,0.0,0.0,3,11,1,0,36.0,0.0,0.0,1.0,0.0,0.0
78,10401,1976.0,1,26326.0,04-09-2013,12,1.0,0.0,5.0,0.0,3.0,9.0,1.0,0.0,0.0,3,3.0,0.0,0.0,0.0,0.0,0.0,0.009375,3,11,0,0,37.0,1.0,0.0,0.0,0.0,0.0
79,1618,1965.0,1,56046.0,02-01-2013,9,577.0,0.0,64.0,0.0,0.0,51.0,2.0,10.0,1.0,8,8.0,0.07276785714285715,0.0,0.0,0.0,0.0,0.0,3,11,1,0,48.0,0.0,0.0,1.0,0.0,0.0
80,3332,1985.0,0,29760.0,29-08-2012,87,64.0,4.0,68.0,7.0,5.0,17.0,4.0,3.0,1.0,4,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3,11,0,1,27.0,0.0,0.0,1.0,0.0,0.0
81,2261,1969.0,1,26304.0,23-06-2013,5,4.0,1.0,5.0,2.0,0.0,4.0,1.0,1.0,0.0,2,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3,11,0,1,44.0,0.0,0.0,1.0,0.0,0.0
82,5346,1973.0,1,23559.0,03-07-2013,87,25.0,5.0,19.0,7.0,0.0,23.0,3.0,3.0,0.0,3,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3,11,0,1,40.0,1.0,0.0,0.0,0.0,0.0
83,4119,1963.0,1,38620.0,11-05-2013,56,112.0,17.0,44.0,34.0,22.0,89.0,1.0,2.0,5.0,3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3,11,0,0,50.0,0.0,0.0,0.0,1.0,0.0
84,535,1987.0,0,81361.0,25-02-2014,18,163.0,23.0,424.0,27.0,65.0,76.0,1.0,3.0,10.0,13,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,11,0,0,27.0,0.0,0.0,1.0,0.0,0.0
85,5268,1960.0,1,29440.0,11-08-2013,95,17.0,8.0,14.0,10.0,4.0,3.0,2.0,1.0,0.0,4,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3,11,0,2,53.0,0.0,0.0,1.0,0.0,0.0
86,273,1970.0,1,36138.0,16-07-2013,48,130.0,0.0,16.0,0.0,0.0,5.0,5.0,3.0,1.0,4,7.0,0.0,0.07455357142857143,0.0,0.0,0.0,0.0,3,11,0,2,43.0,0.0,0.0,0.0,1.0,0.0
87,4452,1957.0,0,50388.0,28-05-2014,3,292.0,6.0,37.0,0.0,3.0,34.0,4.0,6.0,1.0,6,7.0,0.0,0.07455357142857143,0.0,0.06428571428571428,0.0,0.0,3,11,1,1,57.0,0.0,0.0,1.0,0.0,0.0
88,8504,1973.0,1,79593.0,12-05-2014,70,350.0,60.0,568.0,110.0,133.0,145.0,1.0,5.0,6.0,7,2.0,0.0,0.0,0.07276785714285715,0.0,0.0,0.0,3,11,0,0,41.0,0.0,0.0,1.0,0.0,0.0
89,771,1967.0,1,54178.0,21-01-2014,79,135.0,9.0,39.0,4.0,0.0,7.0,1.0,2.0,2.0,5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3,11,0,1,47.0,0.0,0.0,1.0,0.0,0.0
90,8996,1957.0,1,51635.853344237505,19-11-2012,4,230.0,42.0,192.0,49.0,37.0,53.0,2.325,7.0,2.0,8,9.0,0.0,0.0,0.0,0.0,0.0,0.0,3,11,0,3,55.0,0.0,0.0,0.0,0.0,1.0
91,9235,1957.0,0,51635.853344237505,27-05-2014,45,7.0,0.0,8.0,2.0,0.0,1.0,1.0,1.0,0.0,2,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3,11,0,2,57.0,0.0,0.0,1.0,0.0,0.0
92,5798,1973.0,1,51635.853344237505,23-11-2013,87,445.0,37.0,359.0,98.0,28.0,18.0,1.0,2.0,4.0,8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,11,0,0,40.0,0.0,0.0,0.0,1.0,0.0
93,11178,1972.0,0,42394.0,23-03-2014,69,15.0,2.0,10.0,0.0,1.0,4.0,1.0,1.0,0.0,3,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3,11,0,1,42.0,0.0,0.0,0.0,1.0,0.0
94,2230,1970.0,1,23626.0,24-05-2014,84,27.0,2.0,14.0,0.0,0.0,0.0,3.0,3.0,1.0,3,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3,11,0,1,44.0,0.0,0.0,0.0,0.0,1.0
95,7516,1983.0,1,30096.0,22-05-2014,30,5.0,3.0,11.0,12.0,5.0,9.0,1.0,2.0,0.0,3,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3,11,0,1,31.0,0.0,0.0,1.0,0.0,0.0
96,7247,1960.0,0,47916.0,22-11-2012,72,505.0,0.0,26.0,0.0,0.0,75.0,5.0,7.0,4.0,6,6.0,0.0,0.07455357142857143,0.0,0.0,0.0,0.0,3,11,0,1,52.0,0.0,0.0,1.0,0.0,0.0
97,11100,1972.0,0,51813.0,11-04-2013,37,51.0,2.0,7.0,0.0,1.0,2.0,2.0,2.0,0.0,3,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3,11,0,2,41.0,0.0,0.0,1.0,0.0,0.0
98,4646,1951.0,1,78497.0,01-12-2013,44,207.0,26.0,447.0,75.0,0.0,44.021875,1.0,5.0,7.0,12,2.0,0.0,0.0,0.0,0.06428571428571428,0.0,0.0,3,11,0,0,62.0,1.0,0.0,0.0,0.0,0.0
99,3037,1983.0,1,50150.0,20-06-2013,32,135.0,46.0,92.0,65.0,61.0,11.0,2.0,5.0,2.0,7,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3,11,0,0,30.0,0.0,0.0,0.0,0.0,1.0
100,1473,1960.0,0,47823.0,23-07-2013,0,53.0,1.0,5.0,2.0,1.0,10.0,2.0,2.0,0.0,3,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3,11,0,1,53.0,1.0,0.0,0.0,0.0,0.0
101,1016,1959.0,0,34554.0,30-03-2014,43,41.0,1.0,6.0,2.0,0.0,5.0,2.0,2.0,0.0,3,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3,11,0,1,55.0,0.0,0.0,0.0,0.0,1.0
102,4518,1979.0,1,85693.0,20-04-2013,59,386.0,26.302232142857143,183.0,185.0,132.0,111.0,2.0,9.0,5.0,11,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3,11,0,1,34.0,0.0,0.0,1.0,0.0,0.0
103,9370,1945.0,1,65846.0,17-05-2013,68,562.0,81.0,276.0,80.0,40.0,81.0,1.0,6.0,3.0,6,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3,11,0,0,68.0,0.0,0.0,0.0,0.0,1.0
104,8908,1959.0,1,87195.0,08-05-2014,35,217.0,76.0,690.0,50.0,26.0,38.0,1.0,3.0,11.0,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,11,1,0,55.0,0.0,0.0,1.0,0.0,0.0
105,8373,1979.0,1,24594.0,10-12-2013,94,1.0,3.0,6.0,10.0,0.0,9.0,1.0,1.0,0.0,3,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3,11,0,1,34.0,0.0,1.0,0.0,0.0,0.0
106,7533,1964.0,1,49096.0,24-09-2013,15,144.0,1.0,32.0,2.0,1.0,7.0,4.0,4.0,1.0,4,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3,11,0,2,49.0,0.0,0.0,1.0,0.0,0.0
